date,long,ref,fill,stop,stop_fill,target,exit_reason,exit_price,vol,pnl,comm
2026-08-25,True,713.09,712.8,711.8,711.8,725.9900000000008,SL,711.8,6,-6,-0.24
2026-08-26,False,710.32,710.05,710.84,711.02,705.1200000000002,SL,711.02,6,-5.82,-0.24
2026-08-27,False,715.46,715.36,716.8,716.82,702.0600000000009,SL,716.82,6,-8.76,-0.24
2026-08-28,True,719.19,719.29,718.16,718.13,729.4900000000009,SL,718.13,6,-6.96,-0.24
2026-08-31,False,715.76,715.04,716.95,,703.8599999999994,EXPERT,716.05,6,-6.06,-0.24
2026-09-01,True,707.05,707.41,706.33,706.31,714.2499999999991,SL,706.31,6,-6.6,-0.24
2026-09-02,True,706.72,706.73,705.91,705.91,714.8200000000006,SL,705.91,6,-4.92,-0.24
2026-09-03,True,710.91,711.03,710.16,710.13,718.41,SL,710.13,6,-5.4,-0.24
2026-09-04,True,720.44,720.33,719.36,719.34,731.2400000000005,SL,719.34,5,-4.95,-0.2
2026-09-08,False,719.84,719.79,720.83,720.85,709.9399999999999,SL,720.85,5,-5.3,-0.2
2026-09-09,True,716.88,716.98,715.8,715.78,727.6800000000004,SL,715.78,5,-6,-0.2
2026-09-10,False,707.76,708.03,708.31,708.31,702.2600000000004,SL,708.31,5,-1.4,-0.2
2026-09-11,True,715.66,715.92,714.06,714.06,731.6600000000002,SL,714.06,5,-9.3,-0.2
2026-09-14,True,703.32,703.38,703.02,703.01,706.3200000000007,SL,703.01,5,-1.85,-0.2
2026-09-15,True,707.88,708,707.57,707.57,710.9799999999994,SL,707.57,5,-2.15,-0.2
